locus	best_counts	all_counts	pri_counts	uni_counts	repenrich_counts	telescope	tetr_counts	real
HML2_7q22.2	180	425	185	0	52	227	156	240
HML2_12p11.1	209	213	209	199	368	209	201	210
HML2_6p22.1	180	223	180	140	337	180	172	180
HML2_7q34	148	174	148	118	275	148	124	150
HML2_4q32.1	66	250	69	2	21	51	82	120
HML2_19q13.41b	90	91	90	69	126	90	76	90
HML2_3q13.2	41	746	40	0	16	2	4	60
HML2_11q12.3b	30	76	30	19	53	30	26	30
Others	270	21988	249	0	191	0	327	0
HML2_4p16.1a	296	483	299	57	384	298	216	300
HML2_19q11	177	633	185	2	38	328	12	270
HML2_12q14.1	168	810	163	2	46	226	146	240
HML2_8p23.1d	131	484	154	1	32	301	83	210
HML2_4q32.1	109	293	109	2	35	137	144	180
HML2_1q43	150	150	150	106	257	150	137	150
HML2_19q13.12b	120	184	120	80	210	120	96	120
HML2_8p23.1f	98	404	89	0	36	1	234	90
HML2_19p12b	59	194	59	19	94	60	38	60
HML2_11q23.3	28	428	29	2	34	28	20	30
Others	314	25914	293	0	365	0	461	0
HML2_Xq28a	167	302	176	0	104	300	242	300
HML2_9q34.3	268	294	268	212	422	270	244	270
HML2_10p14	232	397	233	73	289	237	175	240
HML2_10q24.2	178	325	178	3	82	212	138	210
HML2_5p12	180	203	180	153	326	180	162	180
HML2_22q11.23	148	174	147	98	256	150	76	150
HML2_4q35.2	114	153	114	51	152	120	108	120
HML2_1q23.3	85	312	84	9	107	89	90	90
HML2_8p23.1e	20	67	21	0	5	60	41	60
HML2_11p15.4a	28	87	29	5	36	29	23	30
Others	230	12343	220	0	271	3	243	0
HML2_5p12	300	354	300	238	514	300	271	300
HML2_20q11.22	269	271	269	248	498	269	264	270
HML2_9q34.11	239	257	240	151	440	240	239	240
HML2_3q27.2	122	580	123	2	26	245	31	210
HML2_5q33.3	89	577	98	0	10	148	43	180
HML2_1q32.2	148	239	148	47	202	148	111	150
HML2_1q23.3	112	391	112	16	128	119	44	120
HML2_8p22	90	90	90	89	160	90	82	90
HML2_19q13.12b	60	135	60	42	100	60	43	60
HML2_Xq28b	28	44	27	19	46	30	23	30
Others	193	17878	182	0	178	0	406	0
HML2_Xq28b	269	334	265	127	399	300	245	300
HML2_4q32.1	151	329	165	4	39	283	262	270
HML2_3p12.3	240	265	240	160	456	240	235	240
HML2_1q23.3	195	411	198	16	213	215	151	210
HML2_4p16.1a	178	202	177	38	226	180	182	180
HML2_3q13.2	94	669	89	3	28	132	33	150
HML2_1q43	120	124	120	85	182	120	99	120
HML2_22q11.23	86	108	87	63	144	90	28	90
HML2_19q13.12a	60	113	60	21	81	59	40	60
HML2_10p14	31	218	31	3	24	29	4	30
Others	226	24960	218	0	228	2	269	0
HML2_19q13.12b	300	381	300	196	524	300	268	300
HML2_22q11.21	157	798	153	0	69	396	68	270
HML2_4p16.1b	236	290	234	38	270	240	199	240
HML2_5q33.3	103	803	122	0	12	176	17	210
HML2_8p23.1a	96	487	90	0	10	115	233	180
HML2_8p23.1f	92	218	89	0	30	150	147	150
HML2_22q11.23	116	134	117	80	198	120	54	120
HML2_19p12a	88	135	88	68	166	89	78	90
HML2_3p12.3	60	103	60	37	121	60	48	60
HML2_3q13.2	47	793	36	0	14	4	128	30
Others	355	26250	361	1	320	0	307	0
HML2_14q11.2	299	326	299	162	459	299	264	300
HML2_3q21.2	254	726	253	20	208	275	158	270
HML2_6q14.1	120	805	129	2	49	305	2	240
HML2_12p11.1	210	212	210	200	364	210	200	210
HML2_7q22.2	147	423	153	1	52	158	160	180
HML2_4p16.1b	149	211	147	20	157	157	120	150
HML2_21q21.1	118	455	120	28	125	117	28	120
HML2_1p31.1	50	591	48	1	12	49	28	90
HML2_4p16.3b	60	209	62	14	66	53	99	60
HML2_11q23.3	31	428	30	5	34	26	4	30
Others	212	24454	198	0	290	0	528	0
HML2_6p22.1	300	331	300	228	588	300	285	300
HML2_1q32.2	259	309	260	83	354	271	201	270
HML2_8p22	240	240	240	236	426	240	214	240
HML2_Xq11.1	210	210	210	210	384	210	209	210
HML2_12q24.33	178	220	180	87	259	180	149	180
HML2_4p16.3a	150	150	150	136	282	150	147	150
HML2_8p23.1c	75	153	79	0	36	120	20	120
HML2_1p31.1	57	267	51	3	16	98	64	90
HML2_16p11.2b	33	165	28	0	14	52	10	60
HML2_10p14	29	123	29	6	26	29	14	30
Others	119	11051	123	0	111	0	249	0
HML2_8p23.1c	185	306	186	1	79	300	4	300
HML2_1p36.21c	176	367	178	0	68	360	233	270
HML2_6q25.1	240	240	240	215	452	240	237	240
HML2_7p22.1	148	749	142	0	10	310	76	210
HML2_22q11.23	178	185	175	113	310	180	69	180
HML2_8p22	150	150	150	147	276	150	126	150
HML2_3q24	63	213	52	0	10	50	2	120
HML2_1p36.21b	149	365	147	0	76	0	96	90
HML2_19q13.41a	60	64	60	41	104	60	50	60
HML2_5q33.3	20	367	24	0	6	0	0	30
Others	281	11332	296	0	331	0	628	0
HML2_8p23.1a	129	409	134	0	6	305	246	300
HML2_8p23.1c	211	521	215	0	118	484	11	270
HML2_8p23.1f	182	451	181	4	67	27	231	240
HML2_4q32.3	209	269	210	115	364	210	197	210
HML2_9q34.3	176	187	176	140	287	176	162	180
HML2_4p16.3a	150	151	150	139	275	150	145	150
HML2_1q21.3	119	175	120	42	176	120	98	120
HML2_3q12.3	85	331	80	16	84	86	73	90
HML2_1p36.21d	51	76	48	5	38	62	51	60
